platform,record_name,record_type,url,status,relationship_to_verifiable_roof,next_action
USPTO,VERIFIABLE ROOF Serial No. 99910284,trademark_application,https://tsdr.uspto.gov/#caseNumber=99910284&caseSearchType=US_APPLICATION&caseType=DEFAULT&searchType=statusSearch,live_application_awaiting_examination,"Direct legal authority record for the mark.","Monitor status; update language only if registration/status changes."
GitHub,RichNass87/inspector-roofing-atlas-query-intelligence,repository,https://github.com/RichNass87/inspector-roofing-atlas-query-intelligence,public_existing,"Related source-spine repository with Verifiable Roof reference.","Keep as related identifier."
GitHub,RichNass87/inspector-roofing-search-integrity-report,repository,https://github.com/RichNass87/inspector-roofing-search-integrity-report,public_existing,"Related source-spine repository for search integrity report.","Keep as related identifier."
GitHub,RichNass87/verifiable-roof-evidence,repository,https://github.com/RichNass87/verifiable-roof-evidence,created_2026_07_10,"Dedicated repository for this package.","Keep package current as evidence changes."
Hugging Face,InspectorRoofing/inspector-roofing-atlas-query-intelligence,dataset,https://huggingface.co/datasets/InspectorRoofing/inspector-roofing-atlas-query-intelligence,public_existing,"Related Atlas dataset with legal/source-spine references.","Keep as related identifier; do not treat as exact dedicated dataset."
Hugging Face,InspectorRoofing/inspector-roofing-atlas-query-intelligence-demo,space,https://huggingface.co/spaces/InspectorRoofing/inspector-roofing-atlas-query-intelligence-demo,public_running,"Related Atlas demo app.","Keep as related identifier."
Hugging Face,InspectorRoofing/verifiable-roof-evidence,dataset,https://huggingface.co/datasets/InspectorRoofing/verifiable-roof-evidence,pending_creation,"Recommended dedicated dataset for this package.","Create dataset and upload CSV/JSON files."
Hugging Face,InspectorRoofing/verifiable-roof-evidence-checker,space,https://huggingface.co/spaces/InspectorRoofing/verifiable-roof-evidence-checker,pending_creation,"Recommended dedicated app for this package.","Create Gradio Space and upload app.py/requirements/data."
Zenodo,Verifiable Roof Evidence Package 2026-07-10,doi_record,pending,pending_creation,"Recommended dedicated Zenodo archive for this package.","Create draft, reserve DOI, review, then publish only if public-safe."
Zenodo,10.5281/zenodo.21042531,doi_record,https://doi.org/10.5281/zenodo.21042531,public_existing,"Existing DOI evidence mentioning Verifiable Roof and USPTO Serial No. 99910284.","Use as related identifier."
Zenodo,10.5281/zenodo.21013082,doi_record,https://doi.org/10.5281/zenodo.21013082,public_existing,"Existing DOI evidence mentioning Verifiable Roof and related records.","Use as related identifier."
Zenodo,10.5281/zenodo.21045292,doi_record,https://doi.org/10.5281/zenodo.21045292,public_existing,"Existing DOI evidence for Roofing Search Integrity Report mentioning Verifiable Roof.","Use as related identifier."
Inspector Roofing Site,Homepage,website,https://inspector-roofing.com/,live_existing,"Live site endpoint observed July 10, 2026.","Use as general site evidence."
Inspector Roofing Site,Atlas Query Intelligence Study,website,https://inspector-roofing.com/atlas-query-intelligence-study/,live_existing,"Live study page observed July 10, 2026.","Use as related site evidence."
